,aggregate,predictions,Scaling_1,residuals,hour_cosin,minute_cosin,Attack_Belief,NonAttack_Belief,Targets
103,0.079537876,0.10614314,0.07953788,0.02660525,0.89687276,-1.8369701e-16,0.0,1.0,0
104,0.07931297,0.10950574,0.07931297,0.030192763,0.8660254,1.0,0.0,1.0,0
105,0.079159096,0.11189988,0.07915909,0.032740787,0.8314696,2.8327693e-16,0.0,1.0,0
106,0.078961834,0.108321466,0.07896183,0.029359639,0.7933533,-1.0,0.0,1.0,0
107,0.08540458,0.10444114,0.085404575,0.019036569,0.7518398,-1.8369701e-16,0.0,1.0,0
108,0.096562654,0.10626909,0.096562654,0.00970644,0.70710677,1.0,0.0,1.0,0
109,0.10772072,0.11353547,0.10772072,0.005814751,0.6593458,2.8327693e-16,0.0,1.0,0
110,0.11887879,0.11312656,0.11887879,0.0057522277,0.6087614,-1.0,0.0,1.0,0
111,0.080473684,0.11323786,0.080473684,0.032764174,0.55557024,-1.8369701e-16,0.0,1.0,0
112,0.08767176,0.108971946,0.08767176,0.021300193,0.5,1.0,0.0,1.0,0
113,0.08050001,0.111046806,0.0805,0.030546809,0.4422887,2.8327693e-16,0.0,1.0,0
114,0.080578946,0.105681755,0.08057895,0.025102811,0.38268343,-1.0,0.0,1.0,0
115,0.080534354,0.102297194,0.08053435,0.021762848,0.32143947,-1.8369701e-16,1.86527e-40,1.0,0
116,0.08025757,0.109600805,0.11675471,0.029343225,0.25881904,1.0,1.0,2.8945005e-08,1
117,0.08020455,0.117300734,0.11667757,0.037096195,0.19509032,2.8327693e-16,1.0,1.2337614e-08,1
118,0.079977095,0.10110193,0.11634669,0.02112483,0.13052619,-1.0,1.0,4.197053e-09,1
119,0.08557576,0.121357165,0.12449134,0.035781413,0.065403126,-1.8369701e-16,1.0,1.1125412e-09,1
120,0.08019697,0.1611958,0.11666655,0.08099883,6.123234e-17,1.0,1.0,5.1378688e-08,1
121,0.08,0.19892593,0.11638,0.11892593,-0.065403126,2.8327693e-16,1.0,1.0183346e-09,1
122,0.10227273,0.12875596,0.14878125,0.026483234,-0.13052619,-1.0,1.0,1.3401794e-10,1
123,0.10751262,0.12818836,0.156404,0.020675734,-0.19509032,-1.8369701e-16,1.0,1.0958177e-12,1
124,0.11275253,0.12991537,0.16402674,0.017162845,-0.25881904,1.0,1.0,1.96805e-09,1
125,0.11799242,0.13836403,0.17164949,0.020371605,-0.32143947,2.8327693e-16,1.0,1.1433889e-12,1
126,0.09878358,0.121462084,0.14370541,0.022678498,-0.38268343,-1.0,1.0,9.024587e-12,1
127,0.111511275,0.10416065,0.16222103,0.0073506283,-0.4422887,-1.8369701e-16,1.0,1.05030845e-11,1
128,0.09905303,0.11259089,0.14409739,0.01353786,-0.5,1.0,0.9999982,1.779691e-06,1
129,0.09296183,0.11357436,0.13523622,0.020612527,-0.55557024,2.8327693e-16,1.0,1.2479217e-11,1
130,0.08191666,0.1055417,0.119168274,0.023625033,-0.6087614,-1.0,0.9999995,4.4334053e-07,1
131,0.07942105,0.0931782,0.11553778,0.013757147,-0.6593458,-1.8369701e-16,1.0,9.250408e-09,1
